Name,Location,Start date,End date,Type,Format,Rounds,URL,Special,Continent,Category,Live games,Prize Fund,Description,Venue,Landing,Players
Durham Annual Chess Congress,Durham - England,May 9,May 11,Open,Classical,,https://durhamchesscongress.co.uk/,,Europe,,,,,,,
55th Rhyl Chess Congress 2025,Rhyl - Wales,May 9,May 11,Open,Classical,,https://rhylandprestatynchessclub.com/rhyl-congress-2025.html,,Europe,,,,,,,
Knight Chess Academy Karunagappally 4th FIDE Rated Chess Tournament 2025 (Ratings below 1700),Kerala - India,May 9,May 11,Open,Classical,,https://aicf.in/wp-content/uploads/2025/04/Chess-7-1-1.pdf,,Asia,,,,,,,
"16th KIIT International Chess Festival (Category A-Open,B-Below 1900, C-Below 1700) :",Bhubaneshwar - India,May 9,May 16,Open,Classical,,https://aicf.in/wp-content/uploads/2025/04/16th_KiiT_2025Revised.pdf,,Asia,,,,,,,
14th Lesa Open,Italy,May 9,May 11,Open,Classical,,http://www.swisschesstour.com/1/lesa_4144875.html,,Europe,,,,,,,
Collingwood Chess Festival 2025,Ontario - Canada,May 9,May 10,Open,Classical,,https://collingwoodchessfestival.com/,,North America,,,,,,,
Rallarsjakken 2025,Narvik - Norway,May 9,May 11,Open,Classical,,http://turneringsservice.sjakklubb.no/invitation.aspx?TID=Rallarsjakken2025-NarvikSjakklubb,,Europe,,,,,,,
Asian Individual Blitz Chess Championships 2025,Al Ain - UAE,May 10,May 10,Open,Blitz,,https://www.chessdom.com/ivan-zemlyanskii-is-asian-individual-blitz-chess-champion/,,Asia,,,,,,,"Alexander Grischuk, Amin Tabatabaei, Adhiban, Pranesh, Ivan Zemlyanskii"
Asian Individual Women's Blitz Chess Championships 2025,Al Ain - UAE,May 10,May 10,Open,Blitz,,https://www.chessdom.com/alua-nurman-is-asian-individual-women-blitz-chess-champion/,,Asia,women,,,,,,"Valentina Gunina, Alua Nurman, Yuxin Song, "
German Blitz Team Championship,Buende - Germany,May 10,May 10,Team,Blitz,,https://www.chessdom.com/sc-remagen-sinzig-wins-the-german-blitz-team-championship/,,Europe,,,,,,,Vasyl Ivanchuk
Grandmaster school of chess May Team tournament,Ballsbridge - Ireland,May 10,May 10,Junior Teams,Rapid,,https://docs.google.com/forms/d/e/1FAIpQLSdGth0O6ZLxXxNtPhRqm7UtgMu1EW5UnJKxPUUHwA7123Aspw/viewform,,Europe,juniors,,,,,,
NEJCA May Championship,Aberdeen - Scotland,May 10,May 10,Junior,Rapid,,https://congress.org.uk/congress/595/home,,Europe,juniors,,,,,,
Ostravsky Konik 2025,Ostrava - Czech Republic,May 10,May 18,Open,Classical,,https://www.chessdom.com/ostravsky-konik-chess-2025/,,Europe,,,,,,,
Nordstansblixten,Göteborg - Sweden,May 10,May 10,Open,Blitz,,https://schack.se/wp-content/uploads/2025/03/Nordstansblixten-2025.pdf,,Europe,,,,,,,
Veteran-SM i snabbschack,Malmö - Sweden,May 10,May 11,Seniors,Rapid,,,,Europe,seniors,,,,,,
2025 Swiss Rapid Chess Day,Great Barr - England,May 10,May 10,Open,Rapid,,https://www.englishchess.org.uk/wp-content/uploads/2025/04/chess_event_may_10th2_2.jpg,,Europe,,,,,,,
2025 Swiss Rapid Chess Day,Great Barr - England,May 10,May 10,Junior,Rapid,,https://www.englishchess.org.uk/wp-content/uploads/2025/04/chess_event_may_10th2_2.jpg,,Europe,,,,,,,
48th Nottingham Congress,Nottingham - England,May 10,May 11,Open,Classical,,https://britchess.wufoo.com/cabinet/fb68787a-08f4-4857-87ba-7b12273b7b9e,,Europe,,,,,,,
3rd Greater London FIDE Congress,Orpington - England,May 10,May 11,Open,Classical,,https://congress.org.uk/congress/513/enter,,Europe,,,,,,,
Golders Green FIDE Rapid Open,London - England,May 10,May 10,Open,Rapid,,https://form.jotform.com/211384934514961,,Europe,,,,,,,
DPS Sitapur FIDE Rated Chess Tournament UP Future GM Series (Vol 1),Odisha - India,May 10,May 13,Open,Classical,,https://aicf.in/wp-content/uploads/2025/04/DPS_FIDE-RATED-Final.pdf,,Asia,,,,,,,
1st AGCA International FIDE Rated Classical Tournament 2025,Sitapur - India,May 10,May 15,Open,Classical,,https://aicf.in/wp-content/uploads/2025/03/1st-AGCA-International-Fide-Rated-Classical-Chess-Tournament-1.pdf,,Asia,,,,,,,
All India Chess Masters – Mumbai Classical Chess Tournament 2025,Maharashtra - India,May 10,May 15,Open,Classical,,https://aicf.in/wp-content/uploads/2025/04/Updated-Flyer-Of-All-India-Chess-Masters-Mumbai-FIDE-Classical_20250422_163901_0000-1.pdf,,Asia,,,,,,,
Internacional Capablanca in Memoriam Elite Group,Cuba,May 10,May 19,RR,Classical,,https://www.chessdom.com/capablanca-memorial-2025/,,North America,,,,,,,
Internacional Capablanca in Memoriam Open,Cuba,May 10,May 19,Open,Classical,,https://www.chessdom.com/capablanca-memorial-2025/,,North America,,,,,,,
Internacional Capablanca in Memoriam Senior,Cuba,May 10,May 19,Open,Classical,,https://www.chessdom.com/capablanca-memorial-2025/,,North America,seniors,,,,,,
Pirc Memorial 2025,Maribor - Slovenia,May 10,May 10,Open,Blitz,,https://www.chessdom.com/pirc-memorial-2025/,,Europe,,,,,,,
Lovech Rapid 2025,Lovech - Bulgaria,May 10,May 10,Open,Rapid,,https://chess-results.com/UploadData.aspx?lan=1&tnr=1164373&Uid=1,,Europe,,,,,,,
Romania Grand Prix Bucharest,Bucharest - Romania,May 10,May 11,Open,Rapid,,https://www.chessdom.com/bucuresti-grand-prix-2025/,,Europe,,,,,,,
Morocco National Rapid Championship,Marrakech - Morocco,May 10,May 10,Open,Rapid,,https://www.chessdom.com/morocco-national-rapid-and-blitz-chess-2025/,,Africa,,,,,,,
Big Rook Chess Festival Blitz 2025,Bangkok - Thailand,May 10,May 10,Open,Blitz,,https://www.chessdom.com/big-rook-chess-festival-2025/,,Asia,,,,,,,
Tunisia Rapid Chess Championship,Tunisia,May 10,May 11,Open,Rapid,,https://www.chessdom.com/tunisia-rapid-chess-championship/,,Africa,,,,,,,
Peter Long Memorial 2025,Roquetas de Mar - Spain,May 10,May 16,Open,Classical,,https://www.chessdom.com/peter-long-memorial-2025-live/,,Europe,,,,,,,
Torneo de Ajedrez del Caribe a la Rueda Rueda - elimination round,Colombia,May 10,June 12,Open,Classical,,https://www.chessdom.com/torneo-de-ajedrez-del-caribe-a-la-rueda-rueda/,,South America,juniors,,,,,,
Ding Liren Chess on Tram,Hong Kong,May 10,May 10,Mixed,Classical,,https://www.chessdom.com/ding-with-a-simul-on-ding-ding/,,Asia,,,,,,,Liren Ding
Gorey FIDE rapid 2025,Gorey - Ireland,May 11,May 11,Open,Rapid,,https://www.icu.ie/system/events/flyers/000/001/976/original/GoreyRapidFlyer.pdf?1740493685,,Europe,,,,,,,
Majstrovstvá SR mládeže a juniorov pre rok 2025,Liptovský Mikuláš,May 11,May 18,Junior,Classical,,https://lss.csweb.sk/,,Europe,juniors,,,,,,
Flemish Blitz Championship 2025,Bruges - Belgium,May 11,May 11,Open,Blitz,,https://sites.google.com/view/brugseschaakkring/vlaams-blitz-kampioenschap?authuser=0,,Europe,,,,,,,
Cambridge Chess Academy Summer Junior Tournament,Cambridge - England,May 11,May 11,Junior,Rapid,,https://britchess.wufoo.com/cabinet/3c9cebd8-f66a-46f7-bc22-b7f201929007,,Europe,juniors,,,,,,
Greenwich Peninsula Chess Club Rapid 2025,Greenwich - England,May 11,May 11,Open,Rapid,,https://britchess.wufoo.com/forms/fide-id-request-form-2024/,,Europe,,,,,,,
3rd HDCA all India open fide rating chess tournament 2025,Jharkhand - India,May 11,May 15,Open,Classical,,https://aicf.in/wp-content/uploads/2024/12/3-rd-HDCA-open-fide-rating-chess-tournament-1.pdf,,Asia,,,,,,,
Chesshead - Next Move,Beirut - Lebanon,May 11,May 11,Open,Rapid,,https://chess-results.com/tnr1170107.aspx?lan=1,,Asia,,,,,,,
Morocco National Blitz Championship ,Marrakech - Morocco,May 11,May 11,Open,Blitz,,https://www.chessdom.com/morocco-national-rapid-and-blitz-chess-2025/,,Africa,,,,,,,
Big Rook Chess Festival Rapid 2025,Bangkok - Thailand,May 11,May 11,Open,Rapid,,https://www.chessdom.com/big-rook-chess-festival-2025/,,Asia,,,,,,,
Veselin Topalov Cup 2025,Varna - Bulgaria,May 11,May 11,Open,Rapid,,https://chess-results.com/UploadData.aspx?lan=1&tnr=1164664&Uid=1,,Europe,,,,,,,
XX Torneo Municipal de Ajedrez San Jorge Caceres 2025,Caceres - Spain,May 11,May 11,Open,Rapid,,https://www.facebook.com/ClubAjedrezCaceresPatrimonio,,Europe,,,,,,,
Harrow Hong Kong Scholastic Open Chess Tournament,Hong Kong,May 11,May 11,Open,Blitz,,https://www.chessdom.com/ding-liren-at-the-harrow-hong-kong-scholastic-open-chess-tournament/,,Asia,juniors,,,,,,Liren Ding
1st VNIT Nagpur International FIDE Rapid Rating Chess Tournament on 12-05-2025,Nagpur - India,May 12,May 12,Open ,Rapid,,https://aicf.in/wp-content/uploads/2025/04/1st_VNIT_RAPID_RATING_TOURNAMENT_2025-2.pdf,,Asia,,,,,,,
Muswell Hill FIDE Chess,London - England,May 13,May 13,Open,Rapid,,https://form.jotform.com/62384663046964,,Europe,,,,,,,
May FIDE BLITZ @ The Stag Plaza Suite,Kent - England,May 13,May 13,Open,Blitz,,https://www.congress.org.uk/congress/576/home,,Europe,,,,,,,
Mitropa Cup 2025,Trencin - Slovakia,May 13,May 22,Team,Classical,,https://www.chessdom.com/mitropa-chess-cup-2025/,,Europe,,,,,,,
African Individual Women Chess Championship 2025,Egypt,May 13,May 20,Open,Classical,,https://www.chessdom.com/african-individual-women-chess-championship-2025/,,Africa,women,,,,,,
African Individual Chess Championship 2025,Egypt,May 13,May 20,Open,Classical,,https://www.chessdom.com/african-individual-chess-championship-2025/,,Africa,,,,,,,
SixDays May 2025,Budapest - Hungary,May 14,May 19,RR,Classical,,https://sixdayschess.hu/,,Europe,,,,,,,
German Individual Championship 2025,Munich - Germany,May 15,May 23,National,Classical,9,https://calendar.chessdom.com/german-individual-championships-2025/,yes,Europe,,,,,,,"Bluebaum, Donchenko, Huschenbeth, Keymer, Kramer, Svane, Wagner"
ACO  Super Senior (65+) Chess Championship,Greece,May 15,May 24,,Classical,,https://www.amateurchess.com/events/aco-2025-world-super-senior-65-chess-champio,,Europe,seniors,,,,,,
SRM 1st International FIDE Rating open chess tournament 2025,Tamil Nadu - India,May 15,May 18,Open,Classical,,https://chess-results.com/tnr1121211.aspx?lan=1,,Asia,,,,,,,
German Individual Women Championship 2025,Munich - Germany,May 15,May 23,National,Classical,,https://www.schachbund.de/,,Europe,,,,,,,
Uganda Open,Uganda,May 15,May 18,Open,Classical,,https://ugandachessfederation.com/,,Africa,,,,,,,
Campeonato de Canarias Juvenil 2025 ,Lanzarote - Spain,May 15,May 18,Open,Classical,,https://federacioncanariadeajedrez.com/,,Europe,juniors,,,,,,
Sharjah Masters 2025,Sharjah - UAE,May 16,May 26,Open,Classical,9,https://calendar.chessdom.com/sharjah-masters-2025/,yes,Asia,,,,,,,"Aravindh, Giri, Abdusattorov, Andreikin, Sevian, Nihal Sarin, Sargsyan, Tabatabaei, Indjic, Mendonca, Sargissian, Nguyen, Predke, Salem, Ivic, Xu, Idani, Daneshvar, Theodorou, Kozak, Jingyao Tin, Azzarov, Muradli, Pichot, Injac, Divya Deshmukh, Bibisara Assaubayeva, Zhu Jiner, Faustino Oro"
Top Chess Engine Championship Swiss 8,TCEC,May 16,July 7,Swiss,Classical,,https://tcec-chess.com/,,North America,,,,,,,
TU Chess Festival 2025,Austria,May 16,May 17,,,,https://schach-tuwien.at/,,Europe,,,,,,,
Ennis Congress 2025,Ennis - Ireland,May 16,May 18,Open,Classical,,https://ennischessclub.wordpress.com/,,Europe,,,,,,,
XXXIV. ročník šachového turnaja ZEMPLÍNSKA VEŽA FIDE OPEN 2025,Michalovce,May 16,May 18,Open,Classical,,http://chess.sk/files/turnaje/Open_SiRAVA_2025F.pdf,,Europe,,,,,,,
Arie Nijman Memorial ,Christchurch - New Zeland,May 16,May 18,,Classical,,https://www.chessdom.com/arie-nijman-memorial-2025/,,Oceania,,,,,,,
Marshall Monthly U2400,New York - USA,May 16,May 18,Open,Classical,,https://www.marshallchessclub.org/tournaments/upcoming,,North America,,,,,,,
Tiroler Einzelmeisterschaft 2025 Senioren,Austria,May 16,June 15,,,,https://chess-results.com/tnr1151922.aspx?lan=0,,Europe,seniors,,,,,,
34th Frome Chess Congress and Somerset Championships,Frome - England,May 16,May 18,Open,Classical,,https://britchess.wufoo.com/cabinet/299b8a88-853b-4ab4-aa46-e3bd3b443a02,,Europe,,,,,,,
Arie Nijman Memorial 2025,Christchurch - New Zealand,May 16,May 18,Open,Classical,,https://www.chessdom.com/arie-nijman-memorial-2025/,,Oceania,,,,,,,
Oman – Kazakhstan friendly rapid,Oman,May 16,May 17,Open,Rapid,,https://www.chessdom.com/oman-kazakhstan-international-friendship-rapid-chess-championship/,,Asia,,,,,,,
Mongilia Amateur Chess Championship,Ulaanbaatar - Mongolia ,May 16,May 18,Open,Classical,,https://www.chessdom.com/mongolia-amateurs-live/,,Asia,,,,,,,
Mzansi Africa Classic,South Africa,May 16,May 17,Open,Classical,,https://mzansichess.co.za/,,Africa,,,,,,,
Steirische Jugendschachrallye - Stadtsaal Mürzzuschlag,Austria,May 17,May 17,,,,https://www.jugendschach.at/event/jugendschachrallye-muerzzuschlag/,,Europe,,,,,,,
Frühlingsschachturnier für Kinder und Jugendliche,Austria,May 17,May 17,,,,https://mmf.univie.ac.at/schachturniere/,,Europe,,,,,,,
"Dubnický šachový turnaj, GPX",Dubnica nad Váhom,May 17,May 17,Open,Rapid,,http://chess.sk/files/turnaje/GPX_Dubnica_2025_chess.pdf,,Europe,,,,,,,
ECU101 - The SMART Method to Teach Chess,Online,May 17,May 18,,Conference,,https://ecuhub.eu/course/the-smart-method-to-teach-chess/,,Online,,,,,,,
14. Salento International Chess Open - Ecoresort Le Sirene ‍,Gallipoli - Italy,May 17,May 25,Open,Classical,,https://www.salentochessopen.it/14/,,Europe,,,,,,,
Bo Nybergs Minnesturnering,Uppsala - Sweden,May 17,May 17,Open,Rapid,,https://schack.se/wp-content/uploads/2025/04/Bo-Nybergs-minnesturnering-2025.pdf,,Europe,,,,,,,
Vårturneringen i Mariehamn fyller femtio,Mariehem - Sweden,May 17,May 18,Open,Rapid,,https://schack.se/wp-content/uploads/2025/04/VARTURNERING-2025-A.pdf,,Europe,,,,,,,
RADNICKICHESS IM and FM rating tournaments,Belgrade - Serbia,May 17,May 25,RR,Classical,,https://calendar.fide.com/calendar.php?id=3446,,Europe,,,,,,,
2025 Leamington Open,Leamington Spa - England,May 17,May 18,Open,Classical,,https://form.jotform.com/241774077912361,,Europe,,,,,,,
Southall Junior Rapidplay,Southall - England,May 17,May 17,Junior,Rapid,,https://britchess.wufoo.com/cabinet/c3ee0424-7e21-4977-9830-ca2a9c46259c,,Europe,,,,,,,
EJCOA Southall Zonal,Southall - England,May 17,May 17,Junior,Rapid,,https://form.jotform.com/230584104019347,,Europe,,,,,,,
6th Oxford FIDE RapidPlay,Oxford - England,May 17,May 17,Open,Rapid,,https://congress.org.uk/congress/511/enter,,Europe,,,,,,,
East Midlands FIDE Congress May 2025,Northampton - England,May 17,May 18,Open,Classical,,https://forms.gle/R6ZQiqbURxxHCeuUA,,Europe,,,,,,,
London SW3 Junior Chess Tournament,London - England,May 17,May 17,Junior,Rapid,,https://form.jotform.com/242906528359062,,Europe,,,,,,,
Maidenhead Junior Tournament May 2025,Maidenhead - England,May 17,May 17,Junior,Rapid,,https://britchess.wufoo.com/cabinet/dcce2cce-4ab2-4b64-adc6-de4f120b59fc,,Europe,,,,,,,
Southall FIDE Congress,Southall - England,May 17,May 18,Open,Classical,,https://form.jotform.com/232021024662340,,Europe,,,,,,,
Autumn Checkmate – A Blitz Event,Auckland - New Zealand,May 17,May 17,Open,Blitz,,https://newzealandchess.co.nz/event/autumn-checkmate-a-blitz-event/,,Oceania,,,,,,,
4th Late Venkatesh and Sumathi Shanbhag Memorial all India FIDE Rapid Rating Rolling Trophy Chess Tournament 2025,Goa - India,May 17,May 18,Open ,Rapid,,https://aicf.in/wp-content/uploads/2025/03/4th-Late-Venkatesh-Sumathi-Shanbhag-All-India-4.pdf,,Asia,,,,,,,
14th Late Bharatbai Halkude Memorial Open FIDE Rating Chess Tournament.,Maharashtra - India,May 17,May 21,Open,Classical,,https://aicf.in/wp-content/uploads/2025/02/LBHM-CHESS-FESTIVAL-2025-compressed-1.pdf,,Asia,,,,,,,
Turkiye Junior Chess Championship 2025,Samsun - Turkey,May 17,May 22,Junior,Classical,,https://www.tsf.org.tr/,,Europe,juniors,,,,,,
WCF Ukraine Rapid Challenge,Lviv - Ukraine,May 17,May 17,Open,Rapid,,https://worldchessfestival.com/,,Europe,,,,,,,
Panagyurishte Open 2025,Panagyurishte - Bulgaria,May 17,May 17,Open,Rapid,,https://www.facebook.com/photo/?fbid=9607071142672828&set=pcb.9607032999343309,,Europe,,,,,,,
Uganda Juniors,Uganda,May 17,May 18,Open,Classical,,https://ugandachessfederation.com/,,Africa,juniors,,,,,,
Villa de Noblejas 2025,Toledo - Spain,May 17,May 17,Open,Rapid,,https://www.chessdom.com/villa-de-noblejas-2025-live/,,Europe,,,,,,,
Campionat de Catalunya Individual Absolut 2025,Salou - Catalunya,May 17,May 24,Open,Classical,,https://www.chessdom.com/catalunya-individual-chess-championship-2025/,,Europe,,,,,,,
"Torneo Municipal Abierto de Ajedrez Ensenada 2025
",Ensenada - Mexico,May 17,May 18,Open,Classical,,https://chess-results.com/tnr1180483.aspx?lan=1,,North America,,,,,,,
Torneo Municipal Abierto de Ajedrez Ensenada 2025  Sub 14,Ensenada - Mexico,May 17,May 17,Junior,Rapid,,https://chess-results.com/tnr1180487.aspx?lan=1&art=0&turdet=YES,,North America,juniors,,,,,,
1st Royal Jordan Chess Club Rapid,Jordan,May 17,May 18,Open,Rapid,,https://chess-results.com/tnr1179969.aspx?lan=16,,Asia,,,,,,,
ChessCom Classic,USA,May 18,May 23,Online,Rapid,,https://www.chessdom.com/chess-com-classic-2025-live/,,North America,,,,,,,"Magnus Carlsen, Hikaru Nakamura, Gukesh D, Liren Ding, Ian Nepomniachtchi, Nodirbek Abdusattorov, Maxime Vachier-Lagrave, Wei Yi, Jan Krzysztof Duda, Maxime Vachier-Lgrave, Fabiano Caruana, Dennis Lazavik, Vladislav Artemiev, Levon Aronian, R. Praggnanandhaa, Vladimir Fedoseev, Erigaisi Arjun"
Trainingsturnier Jugendkader 2025 Termin 2,Austria,May 18,May 18,,,,https://chess-results.com/tnr1124940.aspx?lan=0,,Europe,,,,,,,
"IV Torneig Internacional d'Escacs Actius ""CAL BATISTA""",Baga - Spain,May 18,May 18,Open,Rapid,,https://escacs-lillet.webnode.es/actiu-cal-batista/,,Europe,,,,,,,
EJCOA Zonal Bucks,Little Missenden - England,May 18,May 18,Junior,Rapid,,https://britchess.wufoo.com/cabinet/b1a8246e-8e63-4339-93d5-4c6401f8726b,,Europe,,,,,,,
Berkshire Open Event - Chess Tournament,Finchampstead - England,May 18,May 18,Junior,Rapid,,https://www.eventbrite.com/e/berkshire-open-event-chess-tournament-tickets-1305759685369,,Europe,,,,,,,
BBCA 10th Anniversary FIDE Rated Rapid Tournament,London - England,May 18,May 18,Open,Rapid,,https://britchess.wufoo.com/forms/fide-id-request-form-2024/,,Europe,,,,,,,
Villa de Estadilla 2025,Aragon - Spain,May 18,May 18,Open,Rapid,,https://chess-results.com/tnr1151757.aspx?lan=1&turdet=YES,,Europe,,,,,,,
Pythagoros Elite Junior,Sofia - Bulgaria,May 18,May 18,Open,Blitz,,https://elit4kids.com/event/1-vi-mezhdunaroden-shahmaten-festival-pitagor-elit-1,,Europe,juniors,,,,,,
2nd Greater Baystate Spring Classic,Northampton - USA,May 18,May 18,Open,Classical,,https://www.greaterbaystatechess.com/,,North America,,,,,,,
GCF 960 Tournament ,Guyana,May 18,May 18,Open,Freestyle,,https://guyanachess.gy/gcf_tournaments/gcf-960-freestyle-chess-tournament/,,South America,,,,,,,
30th Tepe Sigeman Chess Tournament,Malmö - Sweden,May 20,May 26,RR,Classical,7,https://calendar.chessdom.com/30th-tepe-sigeman-chess-tournament/,yes,Europe,,,,,,,"Santosh Gujrathi Vidit, Richard Rapport, Javokhir Sindarov, Ray Robson, Nils Grandelius, Vasyl Ivanchuk, Tan Zhongyi, Yagiz Kaan Erdogmus"
Fingal Coaching Day 5 Master and Own Games,Skerries - Ireland,May 20,May 20,Open,Coaching,,https://www.skerrieschess.com/learn,,Europe,,,,,,,
Muswell Hill FIDE Chess,London - England,May 20,May 20,Open,Rapid,,https://form.jotform.com/62384663046964,,Europe,,,,,,,
London Chess League FIDE Blitz Evening,London - England,May 20,May 20,Open,Blitz,,https://forms.gle/1rk74pwdG3N1Z2W69,,Europe,,,,,,,
Karpov Cup - 50 years later,Moscow - Russia,May 21,May 23,RR,Rapid,,https://lichess.org/broadcast/--50--/round-1/WIcE9oIY,yes,Asia,,,,,,,"Ian Nepomniachtchi, Vladislav Artemiev, Alexander Grischuk, Daniil Dubov, Teimour Radjabov, Evgeny Tomashevsky, Maxim Matlakov, Peter Svidler, Vladimir Malakhov, Hans Moke Niemann"
Kazakhstan National Women Chess Championship finals,Astana - Kazakhstan,May 21,June 1,RR,Classical,,https://kazchess.kz/,,Asia,women,,,,,,"Meruert Kamalidenova, Amina Kairbekova, Alua Nurman"
16th Late Bharatbai Halkude Memorial Open FIDE Blitz Rating Chess Tournament,Maharashtra - India,May 21,May 21,Open,Blitz,,https://aicf.in/wp-content/uploads/2025/02/LBHM-CHESS-FESTIVAL-2025-compressed-1.pdf,,Asia,,,,,,,
All India Civil Services (TEAM-Men) Chess Tournament 2024-25,Goa - India,May 21,May 24,Team,Classical,,https://aicf.in/wp-content/uploads/2025/04/Civil-Services-Prospectus-2025.pdf,,Asia,,,,,,,
4th Ganjam All India Open FIDE Rating Chess Tournament-2025,Odisha - India,May 21,May 25,Open,Classical,,https://odishachess.com/4th-ganjam-all-india-open-fide-rating-chess-tournament-2025/,,Asia,,,,,,,
Tamil Nadu State Under 13 Open & Girls FIDE rated Chess Championships 2025,Tamil Nadu - India,May 21,May 25,Junior,Classical,,https://tamilchess.com/events/tn-state-under-13-open-and-girls-chess-championship-2025/,,Asia,,,,,,,
Annai Arul 1st International FIDE Rated Chess Tournament,Tamil Nadu - India,May 21,May 25,Open,Classical,,https://aicf.in/wp-content/uploads/2025/02/AAPS-CHESS-2_compressed.pdf,,Asia,,,,,,,
 Chicago Open 2025,Illinois - USA,May 21,May 26,Open,Classical,,https://www.chesstour.com/chio25.htm,,North America,,,,,,,
Kazakhstan National Chess Championship finals,Astana - Kazakhstan,May 21,June 1,RR,Classical,,https://kazchess.kz/,,Asia,,,,,,,
4th Csomos Janos Memorial 2025,Gyula - Hungary,May 21,May 25,Open,Classical,,https://chess-results.com/UploadData.aspx?lan=1&tnr=1041209&Uid=4,,Europe,,,,,,,
French Top 16,France,May 22,June 6,Team,Classical,,https://www.echecs.asso.fr/,yes,Europe,,,,,,,"Volodar Murzin, Marc' Andria Maurizzi, Daniel Dardha, Rauf Mamedov, Gata Kamsky, Laurent Fressinet, Abhimanyu Puranik, David Navara, Adhiban Baskaran, Amin Tabatabaei, Maxime Vachier-Lagrave, Pentala Harikrishna, Jules Moussard, Jorden van Foreest, Raunak Sadhwani, Ivan Cheparinov, Etienne Bacrot, Vasyl Ivanchuk"
Africa Schools Chess Championships 2025,Mombasa - Kenya,May 22,May 29,Contintental Juniors,Classical,9,https://www.chessdom.com/african-schools-chess-championship-202/,,Africa,juniors,,,,,,
17th Late Bharatbai Halkude Memorial Open FIDE Rapid Rating Chess Tournament,Maharashtra - India,May 22,May 22,Open,Rapid,,https://aicf.in/wp-content/uploads/2025/02/LBHM-CHESS-FESTIVAL-2025-compressed-1.pdf,,Asia,,,,,,,
Svetozar Gligoric Cup,Paracin - Serbia,May 22,May 25,Open,Classical,,https://www.chessdom.com/svetozar-gligoric-cup-2025/,,Europe,,,,,,,
12th Cherry Blossom Classic,Sterling - USA,May 22,May 26,Open,Classical,,https://www.chessdom.com/12th-cherry-blossom-chess-classic/,,North America,,,,,,,
Memorial Day Marshall Invitational,New York - USA,May 22,May 26,RR,Classical,,https://www.chessdom.com/memorial-day-marshall-invitational/,,North America,,,,,,,
Columbia Amateur Chess Championship,Colombia,May 22,May 24,Open,Classical,,https://www.chessdom.com/colombia-amateur-2025/,,South America,,,,,,,
DreamHack Dallas 2025,Dallas - USA,May 23,May 26,KO,Rapid,,https://www.chess.com/events/info/2025-dreamhack-dallas,,North America,,,,,,,"Chithambaram VR Aravindh, Oleksandr Bortnyk, Alexey Sarana, Andrew Tang"
1st International Sofia Spring,Sofia - Bulgaria,May 23,May 29,Open,Classical,,https://www.chessdom.com/sofia-spring-chess-tournament-2025/,,Europe,,,,,,,Maili-Jade Ouellet
American Continental Chess Championship 2025,Brazil,May 23,May 31,Continental,Classical,9,https://www.chessdom.com/american-continental-chess-championship-2025/,,South America,,,,,,,"Sam Shankland, Grigoriy Oparin, Jose Eduardo Martinez Alcantara"
DSAM - Travemünde,Germany,May 23,May 25,,,,https://www.dsam-cup.de/ausschreibung.php,,Europe,,,,,,,
SCT Perth Congress 2025,Perth - Scotland,May 23,May 26,Open,Classical,,https://congress.playchess.org.uk/congress/502/home,,Europe,,,,,,,
Eifeler Schach Festival,Wirtzfeld - Belgium,May 23,May 25,Open,Rapid,,https://calendar.fide.com/event_files/3371/Flyer_ESF_2025_EN.pdf,,Europe,,,,,,,
Earlsfield FIDE Congress,London - England,May 23,May 24,Open,Classical,,https://form.jotform.com/231302020380334,,Europe,,,,,,,
15th Late Bharatbai Halkude Memorial B-1800 FIDE Rating Chess Tournament 2025,Maharashtra - India,May 23,May 25,Open,Classical,,https://aicf.in/wp-content/uploads/2025/02/LBHM-CHESS-FESTIVAL-2025-compressed-1.pdf,,Asia,,,,,,,
Burgenländische Jugendschachrallye 2025 - Neufeld,Austria,May 24,May 24,,,,https://bsbschach.club/jugendschachrallye/,,Europe,,,,,,,
Smíchovský soudek,Czech Republic,May 24,May 24,,,,https://www.chess.cz/akce/smichovsky-soudek-2/,,Europe,,,,,,,
"Starnberger Jahrhundertschach, Schnellschach Open",Germany,May 24,May 24,,,,https://sk-starnberg.de/jahrhundertschach/,,Europe,,,,,,,
Run and chess 24.5. 2025,Bratislava - mestská časť Rača,May 24,May 24,Open,Blitz,,http://chess.sk/files/turnaje/Run_chess_2025.pdf,,Europe,,,,,,,
Charlotte Classical Championship 2025,Charlotte - USA,May 24,May 25,Open,Classical,,https://www.chessdom.com/2025-club-classical-championship/,,North America,,,,,,,
Tatrafest: 20. ročník Majstrovstvá SR seniorov (65+),Vysoké Tatry,May 24,May 31,Senior,Classical,,https://tatrafest.sk/,,Europe,seniors,,,,,,
Tatrafest: Open Tatry (otvorené MSR seniorov 50+),Vysoké Tatry,May 24,May 31,Senior,Classical,,https://tatrafest.sk/,,Europe,seniors,,,,,,
9. Int. Bodensee-Open,Austria,May 24,June 1,,Classical,,https://www.bodensee-open.com/bodensee-open/,,Europe,,,,,,,
Zalakaros Chess Festival,Zalakaros - Hungary,May 24,June 1,Open,Classical,,https://chess.hu/wp-content/uploads/2024/12/Zalakaros2025eng.pdf,,Europe,,,,,,,
Lördagssnabben,Norrköping - Sweden,May 24,May 24,Open,Rapid,,https://schack.se/evenemang/lordagssnabben/2025-05-24/,,Europe,,,,,,,
Damallsvenskan,Alingsås - Sweden,May 24,May 25,Women,Classical,,https://schack.se/evenemang/damallsvenskan-7/,,Europe,women,,,,,,
